lane1 det1;lane1 det2;lane2 det1;lane2 det2;lane3 det1;lane3 det2
85.17;84.64000000000001;87.05999999999999;85.86999999999999;86.88;86.4
85.17;84.64000000000001;87.05999999999999;85.86999999999999;86.88;86.4
85.17;84.64000000000001;87.05999999999999;85.86999999999999;86.88;86.4
85.17;84.64000000000001;87.05999999999999;85.86999999999999;86.88;86.4
85.17;84.64000000000001;87.05999999999999;85.86999999999999;86.88;86.4
85.17;84.64000000000001;87.05999999999999;85.86999999999999;86.88;86.4
85.17;84.64000000000001;87.05999999999999;85.86999999999999;86.88;86.4
85.54;84.64000000000001;87.05999999999999;85.86999999999999;86.88;86.4
85.97999999999999;84.62;84.47;85.86999999999999;86.88;86.5
85.97;85.15;72.10999999999999;86.47;86.85999999999999;86.5
85.97;85.15;72.10999999999999;86.47;86.85999999999999;86.5
84.54999999999998;84.2;89.8;69.8;86.67999999999998;86.5
83.92;85.74;85.35999999999999;96.94000000000001;85.04;86.5
83.74999999999999;85.5;90.98;58.580000000000005;85.69;84.44000000000001
84.4;83.67;89.44999999999999;87.39000000000001;122.01000000000002;85.09
84.4;83.67;89.44999999999999;87.39000000000001;122.01000000000002;85.09
85.72999999999999;82.29;61.779999999999994;83.28;126.79;91.74
85.65;83.21;87.02000000000001;74.51;82.64;167.77999999999997
85.95000000000002;84.99;86.69;75.03999999999999;87.22000000000001;145.79999999999998
85.95000000000002;84.99;86.69;75.03999999999999;87.22000000000001;145.79999999999998
85.95000000000002;85.03999999999999;86.19;87.75000000000001;87.31;91.2
85.92;86.59;86.10999999999999;87.19999999999999;87.0;86.2
85.92;86.59;86.10999999999999;87.19999999999999;87.02;87.49
85.92;86.59;86.10999999999999;87.19999999999999;87.02;87.49
85.93;86.59;86.19;87.19999999999999;87.06;86.67
85.93;86.59;86.19;87.19999999999999;87.06;87.03999999999999
85.93;86.59;86.19;87.19999999999999;87.06;87.15
85.93;86.59;86.19;87.19999999999999;87.06;87.15
86.02000000000001;85.89999999999999;87.04;87.28;86.88000000000001;87.24000000000001
85.99000000000001;85.28999999999999;87.14000000000001;87.27000000000001;86.99;87.32
86.16;85.42;85.69000000000001;87.60000000000001;87.03;87.32
86.16;85.42;85.69000000000001;87.60000000000001;87.03;87.32
86.2;85.99;65.41;87.61;87.22;87.71000000000001
86.08;86.2;63.13000000000001;75.33;89.41;87.71000000000001
