F 1 2 3 4 5 6 c
198 1 1 1 1 1 0 5
199 1 1 1 1 1 1 6
200 0 1 1 1 0 1 4
201 0 1 1 1 0 1 4
202 0 1 1 1 0 1 4
203 0 1 1 1 0 1 4
204 0 0 1 1 0 0 2
205 0 0 1 1 0 0 2
206 0 0 1 1 0 0 2
207 0 0 1 1 0 0 2
208 0 0 1 1 0 0 2
209 0 0 1 1 1 0 3
210 0 0 1 1 1 0 3
211 0 0 1 1 1 1 4
212 0 0 1 1 1 1 4
213 0 0 1 1 1 1 4
214 1 0 1 1 1 1 5
215 1 0 1 1 1 1 5
216 1 0 1 1 1 1 5
217 1 1 1 1 1 1 6
218 1 1 1 1 1 1 6
219 1 1 1 1 1 1 6
220 1 0 1 1 0 1 4
221 1 0 1 1 0 1 4
222 1 0 1 1 0 1 4
223 1 0 1 1 0 1 4
224 0 0 0 0 0 0 0
225 0 0 0 0 0 0 0
226 0 0 0 0 0 0 0
227 0 0 0 0 0 0 0
228 0 0 0 0 0 0 0
229 0 0 0 0 0 0 0
230 0 0 0 0 0 0 0
231 0 0 0 0 0 0 0
232 0 0 0 0 0 0 0
233 0 0 0 0 0 0 0
234 0 0 0 0 0 0 0
235 0 0 0 0 1 0 1
236 0 0 0 0 1 0 1
237 0 0 0 0 1 0 1
238 0 0 0 0 1 1 2
239 0 0 0 0 1 1 2
240 0 0 0 0 1 1 2
241 0 0 0 0 1 1 2
242 0 0 0 0 1 1 2
243 0 0 0 0 1 1 2
244 0 0 0 0 1 1 2
245 0 0 0 0 1 1 2
246 0 0 0 0 1 1 2
247 0 0 0 0 1 1 2
248 0 0 0 0 1 1 2
249 0 0 0 0 1 1 2
250 0 0 0 0 1 1 2
251 0 0 0 0 1 1 2
252 0 0 0 0 1 1 2
253 0 0 0 0 1 1 2
254 0 0 0 0 1 1 2
255 0 0 0 0 1 1 2
256 0 0 0 0 1 1 2
257 0 0 0 0 1 1 2
258 0 0 0 0 1 1 2
259 0 0 0 0 1 1 2
260 0 0 0 0 1 1 2
261 0 0 0 0 1 1 2
262 0 0 0 0 1 1 2
263 0 0 0 0 1 1 2
264 0 0 0 0 1 1 2
265 0 0 0 0 1 1 2
266 0 0 0 0 0 0 0
267 0 0 0 0 0 0 0
268 0 0 0 0 0 0 0
269 0 0 0 0 0 0 0
270 0 0 0 0 0 0 0
271 0 0 0 0 0 0 0
272 0 0 0 0 0 0 0
273 0 0 0 0 0 0 0
274 0 0 0 0 0 0 0
275 0 0 0 0 0 0 0
276 0 0 0 0 0 0 0
277 0 0 0 0 0 0 0
278 0 0 0 0 0 0 0
279 0 0 1 0 0 0 1
280 0 0 1 0 0 0 1
281 0 0 1 1 1 0 3
282 0 0 1 1 1 0 3
283 0 0 1 1 1 1 4
284 0 0 1 1 1 1 4
285 0 0 1 1 1 1 4
286 0 0 1 1 1 1 4
287 0 0 1 1 1 1 4
288 0 0 1 1 1 1 4
289 0 0 1 1 1 1 4
290 0 0 0 1 1 1 3
291 0 0 0 0 0 1 1
292 0 0 0 0 0 1 1
293 0 0 0 0 0 1 1
294 0 0 0 0 0 0 0
295 0 0 0 0 0 0 0
296 0 0 0 0 0 0 0
297 0 0 0 0 0 0 0
298 0 0 0 0 0 0 0
299 0 0 0 0 0 0 0
300 0 0 0 0 0 0 0
301 1 0 0 0 0 0 1
302 1 0 1 0 0 0 2
303 1 0 1 0 0 0 2
304 1 0 1 0 0 0 2
305 1 1 1 1 0 0 4
306 1 1 1 1 0 0 4
307 1 1 1 1 0 0 4
308 1 1 1 1 0 0 4
309 1 1 1 1 0 0 4
310 1 1 1 1 1 0 5
311 1 1 1 1 1 0 5
312 1 1 1 1 1 1 6
313 1 1 1 0 1 1 5
314 1 1 1 0 1 1 5
315 0 1 1 0 1 1 4
316 0 1 1 0 1 1 4
317 0 1 1 0 1 1 4
318 0 1 0 0 1 1 3
319 0 0 0 0 1 1 2
320 0 0 0 0 1 1 2
321 0 0 0 0 1 1 2
