F 1 2 3 4 5 6 c
870 1 1 1 1 1 1 6
871 1 1 1 1 1 1 6
872 0 1 1 1 1 1 5
873 0 1 1 1 1 1 5
874 0 1 1 1 1 1 5
875 0 1 0 1 1 1 4
876 0 0 0 1 0 1 2
877 0 0 0 0 0 0 0
878 0 0 0 0 0 0 0
879 0 0 0 0 0 0 0
880 0 0 0 0 0 0 0
881 0 0 0 0 0 0 0
882 0 0 0 0 0 0 0
883 0 0 0 0 0 0 0
884 0 0 0 0 0 0 0
885 0 0 0 0 0 0 0
886 0 0 0 0 0 0 0
887 0 0 0 0 0 0 0
888 0 0 0 0 0 0 0
889 0 0 0 0 0 0 0
890 0 0 0 0 0 0 0
891 0 0 0 0 0 0 0
892 0 0 0 0 0 0 0
893 0 0 0 0 0 0 0
894 0 0 0 0 0 0 0
895 0 0 0 1 1 0 2
896 0 0 0 1 1 0 2
897 0 0 0 0 1 0 1
898 0 0 0 0 1 0 1
899 0 0 0 0 1 1 2
900 1 0 0 0 1 1 3
901 1 0 0 0 1 1 3
902 1 0 0 0 1 1 3
903 1 0 0 0 1 1 3
904 1 1 1 0 1 1 5
905 1 1 1 1 0 1 5
906 1 1 1 1 0 0 4
907 1 1 1 1 0 1 5
908 1 1 1 1 0 1 5
909 1 1 1 1 0 1 5
910 1 1 1 1 0 1 5
911 1 1 1 1 0 1 5
912 1 1 1 1 0 1 5
913 1 1 1 1 1 1 6
914 1 1 1 1 1 1 6
915 1 1 1 1 1 1 6
916 1 1 1 1 1 1 6
917 1 0 1 1 1 1 5
918 1 0 1 1 1 1 5
919 1 0 1 1 1 1 5
920 1 0 1 1 1 1 5
921 0 0 1 1 1 1 4
922 0 0 1 1 1 1 4
923 0 0 1 1 1 1 4
924 0 0 0 1 1 1 3
925 0 0 0 1 1 1 3
926 0 0 0 0 0 1 1
927 0 0 0 0 0 0 0
928 0 0 0 0 0 0 0
929 0 0 0 0 0 0 0
930 0 0 0 0 0 0 0
931 0 0 0 0 0 0 0
932 0 0 0 0 0 0 0
933 0 0 0 0 0 0 0
934 0 0 0 0 0 0 0
935 0 0 0 0 0 0 0
936 0 0 0 0 0 0 0
937 0 0 0 0 0 0 0
938 0 0 0 0 0 0 0
939 0 0 0 0 0 0 0
940 0 0 0 0 0 0 0
941 0 0 0 0 0 0 0
942 0 0 0 0 0 0 0
943 0 0 0 0 0 0 0
944 0 0 0 0 1 0 1
945 0 0 0 0 1 0 1
946 0 0 1 0 1 0 2
947 0 0 1 0 1 0 2
948 0 0 1 1 1 0 3
949 0 0 1 1 1 0 3
950 0 0 1 1 1 0 3
951 0 0 1 1 1 0 3
952 0 0 1 1 1 1 4
953 0 0 1 1 1 1 4
954 0 0 1 1 1 1 4
955 0 0 1 1 1 1 4
956 0 0 1 1 1 1 4
957 0 0 1 1 1 1 4
958 0 0 1 1 1 1 4
959 0 0 1 1 1 1 4
960 0 0 0 0 1 1 2
961 0 0 0 0 1 1 2
962 0 0 0 0 1 1 2
963 0 0 0 0 1 1 2
964 0 0 0 0 1 1 2
965 0 0 0 0 1 1 2
966 0 0 0 0 1 1 2
967 0 0 0 0 1 0 1
968 0 0 0 0 0 0 0
969 0 0 0 0 0 0 0
970 0 0 0 0 0 0 0
971 0 0 0 0 0 0 0
972 0 0 0 0 0 0 0
973 0 0 0 0 0 0 0
974 0 0 0 0 0 0 0
975 0 0 0 0 0 0 0
976 0 0 0 0 0 0 0
977 0 0 0 0 0 0 0
978 0 0 0 0 0 0 0
979 0 0 0 0 0 0 0
980 0 0 0 0 0 0 0
981 0 0 0 0 0 0 0
982 0 0 0 0 0 0 0
983 0 0 0 0 0 0 0
984 0 0 0 0 0 0 0
985 1 0 0 0 0 0 1
986 1 0 0 0 0 0 1
987 1 1 1 0 0 0 3
988 1 1 1 0 0 0 3
989 1 1 1 1 0 0 4
990 1 1 1 1 0 0 4
991 1 1 1 1 0 0 4
992 1 1 1 1 0 0 4
993 1 1 1 1 0 0 4
994 1 1 1 1 0 0 4
995 1 1 1 1 0 0 4
996 1 1 1 1 0 0 4
997 0 1 0 1 0 0 2
998 0 1 0 1 0 0 2
999 0 1 0 1 0 0 2
1000 0 0 0 0 0 0 0
1001 0 0 0 0 0 0 0
1002 0 0 0 0 0 0 0
1003 0 0 0 0 0 0 0
1004 0 0 0 0 0 0 0
1005 0 0 0 0 0 0 0
1006 0 0 0 0 0 0 0
1007 0 0 0 0 0 0 0
1008 0 0 0 0 1 0 1
1009 0 0 0 0 1 0 1
1010 0 0 0 0 1 0 1
1011 0 0 0 0 1 1 2
1012 0 0 0 0 1 1 2
1013 0 0 0 0 1 1 2
1014 0 0 0 0 1 1 2
1015 0 0 0 0 1 1 2
1016 0 0 0 0 1 1 2
1017 0 0 0 0 1 1 2
1018 0 0 0 0 1 1 2
1019 0 0 0 0 1 1 2
1020 0 0 0 0 0 1 1
1021 0 0 0 0 0 0 0
1022 0 0 0 0 0 0 0
1023 0 0 0 0 0 0 0
1024 0 0 0 0 0 0 0
1025 0 0 0 0 0 0 0
1026 0 0 0 0 0 0 0
1027 0 0 0 0 0 0 0
1028 0 0 0 0 0 0 0
1029 0 0 0 0 0 0 0
1030 0 0 0 0 0 0 0
1031 0 0 0 0 0 0 0
1032 0 0 0 0 0 0 0
1033 0 0 0 0 0 0 0
1034 0 0 0 0 0 0 0
1035 0 0 0 0 0 0 0
1036 0 0 0 0 0 0 0
1037 0 0 0 0 0 0 0
1038 0 0 0 0 0 0 0
1039 0 0 0 0 0 0 0
1040 0 0 0 0 0 0 0
1041 0 0 0 0 0 0 0
1042 0 0 0 0 0 0 0
1043 0 0 0 0 0 0 0
1044 0 0 0 0 0 0 0
1045 0 0 0 0 0 0 0
1046 0 0 0 0 0 0 0
1047 0 0 0 0 0 0 0
1048 0 0 0 0 0 0 0
1049 0 0 0 0 0 0 0
1050 0 0 0 0 0 0 0
1051 0 0 0 0 0 0 0
1052 0 0 0 0 0 0 0
1053 0 0 0 0 0 0 0
